wavelengths	intensities
212.11406	170.94
212.12816	15.2445
212.14226	142.377
212.15636	150.587
212.17046	128.031
212.18456	246.489
212.19865	256.502
212.21275	273.877
212.22685	356.03
212.24095	533.412
212.25507	546.59
212.26917	565.392
212.28326	443.268
212.29736	311.41
212.31148	361.744
212.32558	479.17
212.33968	612.718
212.35379	594.834
212.36789	438.666
212.382	616.646
212.3961	771.043
212.41022	868.345
212.42432	1044.4
212.43843	1056.6
212.45255	1074.19
212.46664	1364.86
212.48076	1630.63
212.49487	1943.14
212.50897	1904.93
212.52309	2095.48
212.5372	1944.48
212.55132	1489.2
212.56543	1181.74
212.57954	775.656
212.59366	654.106
212.60777	601.261
212.62189	372.031
212.636	309.099
212.65012	330.7
212.66423	149.856
212.67836	86.3685
212.69247	162.014
212.70659	65.0668
212.7207	86.9818
212.73483	110.037
212.74895	177.647
212.76306	69.1099
212.77719	170.402
212.79131	236.894
212.80544	185.401
212.81955	160.297
212.83368	272.74
212.84781	140.939
212.86192	-43.8195
212.87605	-84.429
212.89018	-133.734
212.9043	-86.3847
212.91843	10.1383
212.93256	77.3254
212.94669	202.08
212.96082	15.9231
212.97495	-5.98793
212.98907	73.1787
213.0032	17.2799
213.01733	96.4229
213.03146	114.536
213.04559	328.312
213.05972	371.188
213.07385	302.206
213.08798	216.067
213.10211	140.168
213.11626	188.306
213.13039	108.414
213.14452	143.749
213.15866	236.918
213.17279	182.834
213.18694	209.791
213.20107	178.505
213.21519	216.694
213.22934	329.078
213.24348	357.736
213.25761	520.207
213.27176	616.885
213.2859	712.526
213.30003	833.915
213.31418	704.536
213.32832	378.945
213.34247	629.384
213.3566	921.948
213.37074	917.553
213.38489	1300.02
213.39903	1446.98
213.41318	1697.98
213.42732	2176.46
213.44147	3274.44
213.45561	4035.85
213.46976	4733.71
213.48392	5285.68
213.49806	5472.19
213.51221	5487.27
213.52635	4852.03
213.54051	3936.86
213.55466	2867.94
213.5688	2031.64
213.58296	1673.92
213.59711	1465.78
213.61127	1192.63
213.62541	1198.78
213.63957	1283.22
213.65372	1081.44
213.66788	806.342
213.68202	731.762
213.69618	672.984
213.71034	670.625
213.7245	516.544
213.73865	472.023
213.75281	420.654
213.76697	389.785
213.78113	461.9
213.79529	691.007
213.80945	771.97
213.82361	666.101
213.83777	331.079
213.85193	132.388
213.86609	189.441
213.88025	63.434
213.89441	86.8495
213.90857	-23.79
213.92274	180.3
213.9369	-47.9605
213.95107	-8.97353
213.96524	137.531
213.9794	56.4414
213.99356	190.379
214.00774	139.387
214.0219	306.973
214.03607	375.002
214.05023	355.326
214.06441	246.56
214.07858	365.466
214.09274	387.565
214.10692	465.208
214.12109	558.279
214.13525	690.604
214.14943	689.154
214.1636	523.166
214.17778	188.31
214.19196	73.2489
214.20613	20.2645
214.22031	161.096
214.23448	232.54
214.24866	134.472
214.26283	206.25
214.27701	354.55
214.29118	109.614
214.30536	219.582
214.31955	206.581
214.33372	147.808
214.3479	216.146
214.36208	371.24
214.37627	500.606
214.39044	487.663
214.40463	336.609
214.41881	213.839
214.43298	199.34
214.44717	267.278
214.46136	178.655
214.47554	217.837
214.48973	320.489
214.50391	155.778
214.5181	153.386
214.53229	81.7103
214.54648	-18.5301
214.56067	96.4736
214.57484	-2.26603
214.58904	-107.82
214.60323	221.512
214.61742	201.254
214.63161	137.93
214.6458	215.337
214.65999	243.15
214.67418	174.043
214.68837	77.0589
214.70258	-3.3518
214.71677	-37.1458
214.73096	-91.9657
214.74515	41.6952
214.75935	57.3214
214.77354	9.86414
214.78773	-234.966
214.80194	105.88
214.81613	174.404
214.83034	-14.6087
214.84453	56.8576
214.85873	4.8738
214.87292	210.254
214.88713	-31.8402
214.90134	-19.6393
214.91553	66.8835
214.92973	-176.713
214.94394	-71.5281
214.95813	126.833
214.97234	184.04
214.98654	204.779
215.00075	-24.1909
215.01495	109.13
215.02916	97.2588
215.04337	170.346
215.05757	164.405
215.07178	114.128
215.08598	-4.7861
215.10019	26.4524
215.11441	68.5185
215.12862	48.845
215.14282	155.178
215.15703	212.363
215.17125	228.678
215.18546	188.882
215.19966	16.4957
215.21388	6.03851
215.22809	-2.46674
215.24231	68.7253
215.25652	82.5868
215.27074	61.0941
215.28496	32.2492
215.29916	107.024
215.31339	-98.6335
215.32761	-148.464
215.34181	12.0023
215.35603	130.081
215.37025	258.377
215.38448	160.245
215.3987	224.341
215.41292	314.191
215.42714	349.696
215.44136	354.862
215.45558	281.625
215.4698	274.694
215.48402	247.93
215.49825	238.485
215.51247	248.626
215.52669	184.413
215.54092	90.3447
215.55515	116.071
215.56937	278.938
215.5836	243.976
215.59782	58.6647
215.61205	317.139
215.62628	161.585
215.6405	136.482
215.65474	129.308
215.66896	221.476
215.6832	216.591
215.69743	187.663
215.71165	359.051
215.72589	403.364
215.74013	518.102
215.75436	148.663
215.76859	331.126
215.78282	381.204
215.79706	532.189
215.81129	517.379
215.82553	419.376
215.83977	656.123
215.854	862.129
215.86824	884.218
215.88248	706.226
215.89671	449.557
215.91096	409.905
215.9252	528.268
215.93944	520.9
215.95367	381.498
